,,R,L,F,R
OAKVILLE,RL1,13.8,13.8,34.5,34.5
OAKVILLE,RL2,7.9,7.9,29.5,24.6
OAKVILLE,RL3,7.9,7.9,24.6,24.6
OAKVILLE,RL3-0,7.9,7.9,24.6,24.6
OAKVILLE,RL4,7.9,7.9,24.6,24.6
OAKVILLE,RL5,7.9,7.9,24.6,24.6
OAKVILLE,RL6,3.9,3.9,9.8,23
OAKVILLE,RL7,5.9,5.9,24.6,24.6
OAKVILLE,RL8,2,2,14.8,24.6
OAKVILLE,RL9,2,2,14.8,24.6
OAKVILLE,RL10,7.9,7.9,24.6,24.6
OAKVILLE,RL11,4.9,4.9,19.7,24.6
MISSISSAUGA,R1,13.8,13.8,29.5,24.6
MISSISSAUGA,R2,5.9,5.9,29.5,24.6
MISSISSAUGA,R3,3.9,3.9,24.6,24.6
MISSISSAUGA,R4,3.9,3.9,19.7,24.6
MISSISSAUGA,R5,3.9,3.9,14.8,24.6
RICHMOND HILL,UR,4.9,4.9,24.6,24.6
RICHMOND HILL,R4,4.9,4.9,14.8,24.6
RICHMOND HILL,R6,4.9,4.9,19.7,24.6
WHITCHURCH-STOUFFVILLE,ORM-L,49.2,49.2,49.2,49.2
VAUGHAN,Agricultural,14.8,14.8,48.6,4.9
VAUGHAN,R1V,4.9,4.9,29.5,24.6
TORONTO,RD,5.9,5.9,42.7,24.6
CAMBRIDGE,R2,3.9,3.9,19.7,24.6
WATERLOO,R1,5.9,5.9,24.6,24.6
WATERLOO,R3,9.8,9.8,44.3,44.3
NIAGARA/QUEENSTON,ER1,4.9,4.9,16.4,24.6
NIAGARA/DAVIDS,R1-11,4.9,4.9,19.7,25
NIAGARA/VIRGIL,R1,4.9,4.9,24.6,24.6
NIAGARA/OLDTOWN,R1,4.9,4.9,24.6,24.6
NIAGARA/OLDTOWN,ER,4,4,24.6,24.6
NIAGARA/OLDTOWN,ER2,4,4,24.6,24.6
LINCOLN,R1,3.9,3.9,19.7,24.6
NIAGARA FALLS  ,NIAGARA RIVER,12,12,75,30
NIAGARA FALLS  ,R1C,3.9,3.9,19.7,24.6
ST CATHERINES,R1,3.9,3.9,19.7,19.7
HAMILTON,R2,4.1,4.1,19.7,24.6
ORO-MEDONTE,SR,9.8,9.8,24.6,24.6
ORO-MEDONTE,RLS,9.8,9.8,24.6,24.6
TAY,VILLAGE RESIDENTIAL,9.8,9.8,24.6,24.6
KITCHENER,R-3,3.9,3.9,14.8,24.6
AUSTIN,SF2,15,5,25,10
AUSTIN,SF3,15,5,15,10
LAKEWAY,R1,25,5,25,5
